Participant,Time,Congruency,RT,ACC
1,evening,congruent,392.45,0.967741935
1,evening,incongruent,438.8774194,0.807291667
1,morning,congruent,381.7005348,0.979057592
1,morning,incongruent,438.6283784,0.751269036
2,evening,congruent,402.0260417,1
2,evening,incongruent,464.7621622,0.953608247
2,morning,congruent,450.3385417,0.989690722
2,morning,incongruent,473.7065217,0.953367876
3,evening,congruent,337.8379888,0.988950276
3,evening,incongruent,390.1653543,0.671957672
3,morning,congruent,447.1644737,0.944099379
3,morning,incongruent,503.8974359,0.722222222
4,evening,congruent,355.5519126,1
4,evening,incongruent,406.4060606,0.85492228
4,morning,congruent,366.972973,0.984042553
4,morning,incongruent,424.672956,0.823834197
5,evening,congruent,338.2388889,0.947368421
5,evening,incongruent,377.1346154,0.536082474
5,morning,congruent,361.3388889,0.962566845
5,morning,incongruent,428.3529412,0.697435897
6,evening,congruent,373.0793651,0.994736842
6,evening,incongruent,427.7028571,0.911458333
6,morning,congruent,378.856383,0.979166667
6,morning,incongruent,427.4860335,0.917948718
8,evening,congruent,356.2044199,0.994505495
8,evening,incongruent,424.5730337,0.917525773
8,morning,congruent,365.6137566,0.994736842
8,morning,incongruent,427.9578313,0.846938776
9,evening,congruent,368.7268041,1
9,evening,incongruent,410,0.887179487
9,morning,congruent,362.3455497,1
9,morning,incongruent,416.8323699,0.882653061
10,evening,congruent,533.3007519,0.963768116
10,evening,incongruent,598.6666667,0.947368421
10,morning,congruent,420.3385417,0.989690722
10,morning,incongruent,504.9567568,0.953608247
11,evening,congruent,405.6612903,0.96373057
11,evening,incongruent,470.6046512,0.87755102
11,morning,congruent,373.7142857,0.979274611
11,morning,incongruent,434.6094675,0.85786802
12,evening,congruent,384.9042553,0.964102564
12,evening,incongruent,433.6225166,0.786458333
12,morning,congruent,399.1878173,0.989949749
12,morning,incongruent,440.5460526,0.791666667
13,evening,congruent,400.3606557,0.958115183
13,evening,incongruent,463.2038217,0.801020408
13,morning,congruent,438.9635417,0.979591837
13,morning,incongruent,501.0674157,0.908163265
14,evening,congruent,584.5477387,1
14,evening,incongruent,641.0531915,0.969072165
14,morning,congruent,521.7717391,0.973544974
14,morning,incongruent,618.0447761,0.708994709
15,evening,congruent,419.3101604,0.979057592
15,evening,incongruent,470.575419,0.913265306
15,morning,congruent,438.2380952,0.964285714
15,morning,incongruent,504.9378531,0.912371134
16,evening,congruent,355.9347826,0.994594595
16,evening,incongruent,414.117284,0.839378238
16,morning,congruent,354.1777778,0.989010989
16,morning,incongruent,409.2937063,0.756613757
17,evening,congruent,397.1648936,0.984293194
17,evening,incongruent,464.1022727,0.902564103
17,morning,congruent,390.1354167,0.994818653
17,morning,incongruent,452.5804598,0.892307692
18,evening,congruent,348.3149171,0.989071038
18,evening,incongruent,407.9418605,0.89119171
18,morning,congruent,360.746114,0.98974359
18,morning,incongruent,422.1529412,0.87628866
19,evening,congruent,465.172973,0.958549223
19,evening,incongruent,510.6601307,0.792746114
19,morning,congruent,439.8609626,0.979057592
19,morning,incongruent,493.702381,0.857142857
21,evening,congruent,414.3492063,0.989528796
21,evening,incongruent,493.2,0.888324873
21,morning,congruent,425.6666667,1
21,morning,incongruent,494.9130435,0.948453608
22,evening,congruent,304.4829545,0.961748634
22,evening,incongruent,336.2671756,0.685863874
22,morning,congruent,334.9783784,0.994623656
22,morning,incongruent,380.136646,0.829896907
23,evening,congruent,349.0702703,0.994623656
23,evening,incongruent,395.9710983,0.887179487
23,morning,congruent,352.1086957,0.983957219
23,morning,incongruent,414.3228346,0.664921466
24,evening,congruent,354.1525424,0.951612903
24,evening,incongruent,405.3174603,0.649484536
24,morning,congruent,368.2513966,0.957219251
24,morning,incongruent,435.3945578,0.753846154
26,evening,congruent,384.4354839,0.989361702
26,evening,incongruent,442.8245614,0.87244898
26,morning,congruent,393.3597884,0.974226804
26,morning,incongruent,454.2409639,0.860103627
27,evening,congruent,366.1746032,1
27,evening,incongruent,419.4915254,0.893939394
27,morning,congruent,367.443299,1
27,morning,incongruent,429.7816092,0.887755102
28,evening,congruent,333.6732026,0.840659341
28,evening,incongruent,344.0519481,0.423076923
28,morning,congruent,376.8641304,0.943589744
28,morning,incongruent,416.1910112,0.456410256
29,evening,congruent,333.9337017,0.983695652
29,evening,incongruent,394.7816901,0.739583333
29,morning,congruent,343.8162162,0.994623656
29,morning,incongruent,405.6849315,0.744897959
