Participant,Time,nback,RT,ACC
1,evening,0back,403.375,0.823529412
1,evening,1back,532.4489796,0.882352941
1,evening,2back,751.5714286,0.944444444
1,evening,3back,1021.590909,0.833333333
1,morning,0back,435.8043478,0.882352941
1,morning,1back,591.9583333,0.9375
1,morning,2back,903.9069767,0.888888889
1,morning,3back,854.7954545,0.941176471
2,evening,0back,446.3877551,0.941176471
2,evening,1back,535.96,1
2,evening,2back,952.627907,0.823529412
2,evening,3back,1041.310345,0.444444444
2,morning,0back,458.893617,0.823529412
2,morning,1back,543.875,0.941176471
2,morning,2back,882.875,0.764705882
2,morning,3back,898.2777778,0.611111111
3,evening,0back,351.1764706,0.941176471
3,evening,1back,397.1086957,0.764705882
3,evening,2back,431.1794872,0.722222222
3,evening,3back,413.6785714,0.6875
3,morning,0back,419.0425532,1
3,morning,1back,584.9761905,0.6875
3,morning,2back,596.3928571,0.294117647
3,morning,3back,604.5238095,0.333333333
4,evening,0back,345.22,0.9375
4,evening,1back,422.5319149,0.882352941
4,evening,2back,535.7567568,0.666666667
4,evening,3back,523.7241379,0.411764706
4,morning,0back,396.5111111,0.875
4,morning,1back,443.96,0.9375
4,morning,2back,491.9117647,0.625
4,morning,3back,408.08,0.375
5,evening,0back,361.0869565,0.882352941
5,evening,1back,382.122449,0.875
5,evening,2back,438,0.666666667
5,evening,3back,462.4827586,0.411764706
5,morning,0back,399.6304348,0.764705882
5,morning,1back,423.4130435,0.764705882
5,morning,2back,465.2727273,0.5
5,morning,3back,428.7941176,0.444444444
6,evening,0back,411.6530612,0.941176471
6,evening,1back,532.875,0.8125
6,evening,2back,921.85,0.777777778
6,evening,3back,873.0697674,0.823529412
6,morning,0back,460.6122449,0.882352941
6,morning,1back,500.9534884,0.8125
6,morning,2back,793.8292683,0.666666667
6,morning,3back,991.9487179,0.666666667
8,evening,0back,361.86,0.882352941
8,evening,1back,465.9375,0.8125
8,evening,2back,595.0816327,0.888888889
8,evening,3back,677.5777778,0.722222222
8,morning,0back,347.6938776,0.941176471
8,morning,1back,404.893617,0.764705882
8,morning,2back,1054.906977,0.705882353
8,morning,3back,972.1621622,0.470588235
9,evening,0back,433.5555556,0.823529412
9,evening,1back,459.9767442,0.764705882
9,evening,2back,660.0243902,0.944444444
9,evening,3back,805.5294118,0.611111111
9,morning,0back,385.3617021,0.823529412
9,morning,1back,455.12,1
9,morning,2back,709.1707317,0.833333333
9,morning,3back,618.4,0.444444444
10,evening,0back,514.1041667,0.882352941
10,evening,1back,734.2244898,0.941176471
10,evening,2back,909.8529412,0.529411765
10,evening,3back,879.6470588,0.333333333
10,morning,0back,449.0204082,0.882352941
10,morning,1back,564.2,0.764705882
10,morning,2back,830.75,0.611111111
10,morning,3back,555.9166667,0.411764706
11,evening,0back,379.6086957,0.8125
11,evening,1back,400.5333333,0.705882353
11,evening,2back,363.1891892,0.5
11,evening,3back,373.7142857,0.333333333
11,morning,0back,377.7391304,0.764705882
11,morning,1back,424.5454545,0.6875
11,morning,2back,381.2564103,0.444444444
11,morning,3back,322.8823529,0.222222222
12,evening,0back,392.625,0.823529412
12,evening,1back,398.1111111,0.764705882
12,evening,2back,476.9361702,0.944444444
12,evening,3back,602.8529412,0.611111111
12,morning,0back,433.6086957,0.928571429
12,morning,1back,416,0.882352941
12,morning,2back,795.4444444,0.833333333
12,morning,3back,564.3870968,0.529411765
13,evening,0back,394.9607843,0.941176471
13,evening,1back,471.787234,0.875
13,evening,2back,914.5609756,0.777777778
13,evening,3back,604.4285714,0.722222222
13,morning,0back,428.6875,0.8125
13,morning,1back,550.7755102,0.941176471
13,morning,2back,1212.466667,0.714285714
13,morning,3back,803.1785714,0.727272727
14,evening,0back,477.1875,0.882352941
14,evening,1back,617.3555556,0.875
14,evening,2back,1019.390244,0.777777778
14,evening,3back,995.6052632,0.666666667
14,morning,0back,623.7,0.9375
14,morning,1back,741.52,0.882352941
14,morning,2back,888.9318182,0.888888889
14,morning,3back,874.1944444,0.764705882
15,evening,0back,412.0204082,1
15,evening,1back,453.6595745,0.882352941
15,evening,2back,650.5641026,0.777777778
15,evening,3back,548.28125,0.375
15,morning,0back,437.106383,0.823529412
15,morning,1back,461.9375,0.9375
15,morning,2back,491.0285714,0.411764706
15,morning,3back,432.3243243,0.411764706
16,evening,0back,380.82,1
16,evening,1back,416.0204082,0.9375
16,evening,2back,520.1521739,0.882352941
16,evening,3back,610.7368421,0.833333333
16,morning,0back,364.8913043,1
16,morning,1back,387.56,1
16,morning,2back,445.7708333,0.944444444
16,morning,3back,483.8888889,0.666666667
17,evening,0back,428.3,0.941176471
17,evening,1back,516.6170213,0.882352941
17,evening,2back,666.6153846,1
17,evening,3back,925.8181818,0.916666667
17,morning,0back,438.8723404,0.9375
17,morning,1back,481.0833333,0.823529412
17,morning,2back,629.7254902,1
17,morning,3back,827.1363636,0.9375
18,evening,0back,392.625,0.882352941
18,evening,1back,526.86,0.941176471
18,evening,2back,1023.195652,0.823529412
18,evening,3back,955.7906977,1
18,morning,0back,365.6326531,0.941176471
18,morning,1back,417.4693878,0.9375
18,morning,2back,657.18,0.888888889
18,morning,3back,791.5,0.888888889
19,evening,0back,422.452381,0.733333333
19,evening,1back,590,0.75
19,evening,2back,754.55,0.666666667
19,evening,3back,779.5405405,0.5
19,morning,0back,422.1020408,0.941176471
19,morning,1back,541.9787234,0.823529412
19,morning,2back,809.09375,0.444444444
19,morning,3back,872.5,0.666666667
21,evening,0back,428.5348837,0.705882353
21,evening,1back,637.8043478,0.882352941
21,evening,2back,486.969697,0.055555556
21,evening,3back,936.0526316,0.588235294
21,morning,0back,427.6730769,1
21,morning,1back,604.4878049,0.764705882
21,morning,2back,836.5277778,0.555555556
21,morning,3back,737.1904762,0.611111111
22,evening,0back,346.1,0.941176471
22,evening,1back,453.5454545,0.764705882
22,evening,2back,718.5744681,0.888888889
22,evening,3back,975.5,0.444444444
22,morning,0back,406.94,1
22,morning,1back,482.4375,0.882352941
22,morning,2back,969,0.777777778
22,morning,3back,1355.969697,0.666666667
23,evening,0back,439.66,1
23,evening,1back,451.4313725,1
23,evening,2back,819.7222222,0.375
23,evening,3back,1052.175,0.75
23,morning,0back,370.7916667,0.9375
23,morning,1back,440.0444444,0.764705882
23,morning,2back,817.6170213,0.944444444
23,morning,3back,945.4166667,1
24,evening,0back,422.6170213,0.933333333
24,evening,1back,482.1,0.5625
24,evening,2back,516.9714286,0.823529412
24,morning,0back,390.9,0.941176471
24,morning,1back,470.6888889,0.764705882
24,morning,2back,476.9333333,0.388888889
24,morning,3back,503.5806452,0.222222222
26,evening,0back,432.7826087,0.8125
26,evening,1back,521.2,0.823529412
26,evening,2back,1090.794118,0.529411765
26,evening,3back,1067.636364,0.555555556
26,morning,0back,396.0212766,0.882352941
26,morning,1back,516.0930233,0.8125
26,morning,2back,740.4324324,0.533333333
26,morning,3back,809.8571429,0.444444444
27,evening,0back,391.6808511,0.8125
27,evening,1back,480.8571429,0.941176471
27,evening,2back,589.0930233,0.777777778
27,evening,3back,670.3684211,0.666666667
27,morning,0back,429.4081633,0.882352941
27,morning,1back,447.2708333,0.882352941
27,morning,2back,583.3809524,0.611111111
27,morning,3back,747.3076923,0.666666667
28,evening,0back,414,0.764705882
28,evening,1back,428.255814,0.764705882
28,evening,2back,398.8,0.444444444
28,evening,3back,338.8823529,0.4375
28,morning,0back,408.1458333,0.875
28,morning,1back,411.5909091,0.705882353
28,morning,2back,426.0512821,0.470588235
28,morning,3back,370.9459459,0.4375
29,evening,0back,340.8409091,0.823529412
29,evening,1back,510.6875,0.882352941
29,evening,2back,573.375,1
29,evening,3back,944.85,0.777777778
29,morning,0back,396.5555556,0.823529412
29,morning,1back,471.6046512,0.823529412
29,morning,2back,684.6666667,0.888888889
29,morning,3back,1246,0.888888889
